event_date,fighter_a,fighter_b,fighter_a_matched,fighter_b_matched,both_matched,fighter_a_last_source_date,fighter_b_last_source_date
2021-09-08,cj vergara,bruno korea,0,0,0,,
2021-09-08,muin gafurov,chad anheliger,1,1,1,2021-09-07,2021-09-07
2021-09-08,jose alday,saimon oliveira,1,1,1,2021-09-07,2021-09-07
2021-09-15,albert duraev,caio bittencourt,1,1,1,2021-09-14,2021-09-14
2021-09-15,nasrudin nasrudinov,jailton almeida,1,1,1,2020-07-24,2021-02-21
2021-09-15,jasmine jasudavicius,julia polastri,1,1,1,2021-09-14,2021-09-14
2021-09-15,jack della maddalena,ange loosa,1,1,1,2021-09-14,2021-09-14
2021-09-15,brandon lewis,mo miller,1,1,1,2021-09-14,2021-09-14
2021-09-22,jacob rosales,victor martinez,1,1,1,2021-01-15,2019-08-30
2021-09-22,aj dobson,hashem arkhagha,0,1,0,,2020-09-25
2021-09-22,theo rlayang,steven nguyen,1,1,1,2020-12-05,2021-02-19
2021-09-22,kleydson rodrigues,santo curatolo,1,1,1,2019-10-26,2020-08-12
2021-09-22,michael morales,nikolay veretennikov,1,1,1,2021-09-21,2021-09-21
2021-09-29,edivan santos,rizvan kuniev,0,1,0,,2020-12-19
2021-09-29,aaron jeffery,caio borralho,1,1,1,2021-03-12,2019-08-23
2021-09-29,lucas almeida,daniel zellhuber,1,1,1,2021-08-21,2018-04-20
2021-09-29,ihor potieria,lucasz sudolski,1,0,0,2017-07-23,
2021-10-06,shimon smotritsky,mike malott,1,1,1,2021-10-05,2021-10-05
2021-10-06,daniel barez,carlos hernandez,1,1,1,2021-10-05,2021-10-05
2021-10-06,fernie garcia,joshua weems,1,1,1,2021-03-26,2020-01-11
2021-10-06,shonte barnes,joseph holmes,0,1,0,,2019-03-22
2021-10-06,genaro valdez,patrik white,0,0,0,,
2021-10-13,lorenzo hood,martin buday,1,1,1,2016-06-17,2021-06-19
2021-10-13,maria silva,kathryn paprocki,1,1,1,2018-06-09,2021-05-21
2021-10-13,jake hadley,mitch raposo,1,1,1,2021-10-12,2021-10-12
2021-10-13,chris duncan,viacheslav borshchev,1,1,1,2021-10-12,2021-10-12
2021-10-13,christian rodriguez,reyes cortez jr.,1,1,1,2021-10-12,2021-10-12
2021-10-20,james barnes,pedro falcão,1,1,1,2021-10-19,2021-10-19
2021-10-20,caio borralho,jesse murray,1,1,1,2021-10-19,2021-10-19
2021-10-20,piera rodriguez,valesca machado,1,1,1,2021-10-19,2021-10-19
2021-10-20,kaloyan kolev,armen petrosyan,1,0,0,2016-08-02,
2021-10-20,solomon renfro,jonny parsons,1,1,1,2021-10-19,2021-10-19
2021-10-27,karine silva,yan qihui,1,0,0,2020-02-29,
2021-10-27,javid basharat,oron kahlon,1,1,1,2021-10-26,2021-10-26
2021-10-27,kolton englund,manuel torres,1,1,1,2021-05-16,2018-08-18
2021-10-27,xiao long,cristian quiñonez,0,1,0,,2021-02-26
2021-10-27,xie bin,olivier murad,0,1,0,,2021-10-26
2021-10-27,jansey silva,gadzhi omargadzhiev,1,1,1,2021-10-26,2021-10-26
2021-11-03,juan puerta,shang zhifa,1,0,0,2021-11-02,
2021-11-03,jonas bilharinho,canaan kawaihae,1,1,1,2021-11-02,2021-11-02
2021-11-03,yohan lainesse,justin burlinson,1,1,1,2021-11-02,2021-11-02
2021-11-03,maheshate,achilles estremadura,0,0,0,,
2021-11-03,qiulun,erisson ferreira,0,1,0,,2021-11-02
2022-07-27,ozzy diaz,joe pyfer,0,1,0,,2020-02-21
2022-07-27,kaleio romero,dennis buzukja,1,1,1,2022-07-26,2022-07-26
2022-07-27,anton turkalj,acácio dos santos,0,1,0,,2022-04-30
2022-07-27,alessandro costa,juan andres luna,1,0,0,2022-07-26,
2022-08-03,shimon smotritsky,billy ray goff,1,0,0,2022-08-02,
2022-08-03,chris duncan,charlie campbell,1,1,1,2022-08-02,2022-08-02
2022-08-03,shannon ross,vinicius salvador,1,1,1,2022-08-02,2022-08-02
2022-08-03,danilo suzart,waldo cortes-acosta,1,1,1,2022-08-02,2022-08-02
2022-08-03,francis marshall,connor matthews,1,1,1,2022-08-02,2022-08-02
2022-08-10,jamal pogues,paulo renato jr.,1,1,1,2022-08-09,2022-08-09
2022-08-10,karolina wojcik,sandra lavado,1,1,1,2022-08-09,2022-08-09
2022-08-10,édgar cháirez,clayton carpenter,1,1,1,2022-08-09,2022-08-09
2022-08-10,erik silva,anvar boynazarov,1,1,1,2022-08-09,2022-08-09
2022-08-10,bo nickal,zachary borrego,0,1,0,,2022-06-26
2022-08-17,jose johnson,jack cartwright,1,1,1,2022-08-16,2022-08-16
2022-08-17,hailey cowan,claudia leite,1,1,1,2022-08-16,2022-08-16
2022-08-17,claudio ribeiro,ivan valenzuela,1,0,0,2021-09-24,
2022-08-17,nazim sadykhov,ahmad hassanzada,1,0,0,2020-02-01,
2022-08-17,thomas paull,esteban ribovics,1,1,1,2022-08-16,2022-08-16
2022-08-24,amiran gogoladze,darrius flowers,1,1,1,2022-08-23,2022-08-23
2022-08-24,rayanne dos santos,denise gomes,1,0,0,2021-06-05,
2022-08-24,erisson ferreira,jesus aguilar,1,0,0,2022-08-23,
2022-08-24,eduardo neves,mick parkin,1,1,1,2022-08-23,2022-08-23
2022-08-24,josh wang-kim,cameron saaiman,1,0,0,2022-05-21,
2022-08-31,alexander morgan,blake bilder,0,1,0,,2022-08-30
2022-08-31,rodrigo lidio,mateusz rębecki,1,1,1,2022-08-30,2022-08-30
2022-08-31,viktoriia dudakova,maria silva,0,1,0,,2022-03-10
2022-08-31,matej penaz,sedriques dumas,1,1,1,2022-08-30,2022-08-30
2022-08-31,yusaku kinoshita,jose henrique,1,1,1,2022-08-30,2015-06-06
2022-09-07,ismael bonfim,nariman abbasov,1,1,1,2022-09-06,2022-09-06
2022-09-07,jimmy lawson,karl williams,1,1,1,2021-08-27,2022-07-23
2022-09-07,trey waters,gabriel bonfim,1,1,1,2022-09-06,2022-09-06
2022-09-07,nayara maia,tereza bleda,1,1,1,2021-07-03,2021-05-01
2022-09-07,vitor petrino,rodolfo bellato,1,1,1,2021-09-04,2022-03-11
2022-09-14,bruna brasil,marnic mann,1,1,1,2022-09-13,2022-09-13
2022-09-14,ikram aliskerov,mario sousa,1,1,1,2022-09-13,2022-09-13
2022-09-14,daniel marcos,brandon lewis,1,1,1,2019-12-03,2021-09-14
2022-09-14,allan begosso,farid basharat,1,1,1,2022-09-13,2022-09-13
2022-09-14,trevor peek,malik lewis,1,1,1,2022-09-13,2022-09-13
2022-09-21,richard jacobi,austen lane,1,1,1,2022-09-20,2022-09-20
2022-09-21,nurullo aliev,josh wick,1,1,1,2022-09-20,2022-09-20
2022-09-21,jafel filho,roybert echeverria,1,1,1,2022-09-20,2022-09-20
2022-09-21,brunno ferreira,leon aliu,1,1,1,2022-09-20,2022-09-20
2022-09-21,mando gutierrez,raul rosas jr.,1,1,1,2020-09-04,2022-06-24
2022-09-28,mateus mendonca,ashiek ajim,1,1,1,2022-09-27,2022-09-27
2022-09-28,rafael estevam,joao elias,1,1,1,2022-09-27,2022-09-27
2022-09-28,bo nickal,donovan beard,0,1,0,,2021-11-19
2022-09-28,sam patterson,vinicius cenci,1,0,0,2022-09-27,
2022-09-28,emiliano linares,jack jenkins,0,1,0,,2018-03-23
2023-08-08,kevin borjas,victor dias,1,1,1,2022-09-25,2022-11-18
2023-08-08,payton talbott,reyes cortez jr.,1,1,1,2022-10-22,2022-06-10
2023-08-08,kevin szaflarski,caio machado,1,1,1,2022-05-21,2023-01-28
2023-08-08,lucas fernando,cesar almeida,1,0,0,2023-03-10,
2023-08-08,bogdan grad,tom nolan,1,0,0,2023-03-10,
2023-08-15,paulo renato jr.,ibo aslan,1,0,0,2022-08-09,
