uid,fight_id,event_id,event_date,event_name,promotion,fighter_id,fighter_name,fight_result,opponent_id,opponent_name,title_fight,fight_end_round,fight_result_type,fight_duration,over_2_5
s:3301~l:3321~e:600047624~c:401703014,600047624-5223435-3152929,600047624,2024-08-13,Dana White's Contender Series,DWC,5212749,ernie juarez,L,5223435,jose miguel delgado,False,2,KO-TKO,6.42,False
s:3301~l:3321~e:600055006~c:401805485,600055006-3957071-5150021,600055006,2025-09-03,Dana White's Contender Series,DWC,5200305,an tuan ho,L,5150021,eduardo chapolin,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600047624~c:401686962,600047624-3957071-5147737,600047624,2024-08-13,Dana White's Contender Series,DWC,5200305,an tuan ho,L,5147737,lone'er kavanagh,False,1,KO-TKO,2.42,False
s:3301~l:3321~e:600036492~c:401577732,600036492-5144320-4040197,600036492,2023-08-15,Dana White's Contender Series,DWC,4878592,charalampos grigoriou,W,5144320,cameron smotherman,False,1,KO-TKO,1.0,False
s:3301~l:3321~e:600022209~c:401467663,600022209-4076472-4701186,600022209,2022-09-07,Dana White's Contender Series,DWC,4915907,karl williams,W,4701186,jimmy lawson,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401033270~c:265463,401033270-4339131-4375156,401033270,2018-06-13,Dana White's Contender Series,DWC,3948876,alonzo menifield,W,4339131,dashawn boatwright,False,1,KO-TKO,0.13,False
s:3301~l:3321~e:400966347~c:265556,400966347-4375156-3923647,400966347,2017-07-25,Dana White's Contender Series,DWC,3948876,alonzo menifield,W,3923647,daniel jolly,False,1,DR-TKO,5.0,False
s:3301~l:3321~e:401033277~c:265481,401033277-3074464-3938715,401033277,2018-06-20,Dana White's Contender Series,DWC,3957071,giga chikadze,L,3938715,austin springer,False,3,SUBMISSION,14.17,True
s:3301~l:3321~e:600036497~c:401591069,600036497-4935217-4360028,600036497,2023-09-20,Dana White's Contender Series,DWC,4868702,kaynan kruschewsky,W,4935217,dylan mantello,False,1,SUBMISSION,2.87,False
s:3301~l:3321~e:401128917~c:268441,401128917-5143223-3009725,401128917,2019-06-19,Dana White's Contender Series,DWC,4076472,bill algeo,L,3009725,brendan loughnane,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600036492~c:401579129,600036492-5115163-4685988,600036492,2023-08-15,Dana White's Contender Series,DWC,5027356,hyder amil,W,5115163,emrah sonmez,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:401128923~c:268320,401128923-3928693-4243624,401128923,2019-07-31,Dana White's Contender Series,DWC,4426285,mariya agapova,L,4243624,tracy cortez,False,3,DEC-UNA,15.0,True
s:3301~l:3321~e:600022207~c:401466053,600022207-4963260-4423214,600022207,2022-08-24,Dana White's Contender Series,DWC,4358252,darrius flowers,W,4963260,amiran gogoladze,False,1,SUBMISSION,1.22,False
s:3301~l:3321~e:600010081~c:401370333,600010081-3089915-2502713,600010081,2021-10-13,Dana White's Contender Series,DWC,4406574,martin buday,W,2502713,lorenzo hood,False,1,KO-TKO,4.93,False
s:3301~l:3321~e:600022210~c:401482233,600022210-4684923-4423214,600022210,2022-09-14,Dana White's Contender Series,DWC,4684776,ikram aliskerov,W,4684923,mario sousa,False,1,SUBMISSION,2.15,False
s:3301~l:3321~e:401128919~c:268447,401128919-4392322-4351085,401128919,2019-06-26,Dana White's Contender Series,DWC,4010864,miles johns,W,4392322,richie santiago,False,3,DEC-UNA,15.0,True
